Input	NCF	Chain	chain_1	Union of chain and chain 1	Intersection of chain and chain 1	Non-chain non-chain1 NCF	enrich_chain_in_NCF	enrich_chain1_in_NCF	enrich_chain_unions_in_NCF
1	2	2	2	2	2	0	1.0	1.0	1.0
2	8	6	6	8	4	0	0.75	0.75	1.0
3	64	26	26	52	0	12	0.40625	0.40625	0.8125
4	736	150	150	300	0	436	0.20380434782608695	0.20380434782608695	0.4076086956521739
5	10624	1082	1082	2164	0	8460	0.10184487951807229	0.10184487951807229	0.20368975903614459
6	183936	9366	9366	18732	0	165204	0.05091988517745303	0.05091988517745303	0.10183977035490606
7	3715072	94586	94586	189172	0	3525900	0.02546007183710033	0.02546007183710033	0.05092014367420066
8	85755372	1091670	1091670	2183340	0	83572032	0.012730047978801841	0.012730047978801841	0.025460095957603682
9	2226939904	14174522	14174522	28349044	0	2198590860	0.006365022232768793	0.006365022232768793	0.012730044465537585
10	64255903744	204495126	204495126	408990252	0	63846913492	0.003182511085903061	0.003182511085903061	0.006365022171806122
